Company,Period,NewR,CurrR,Date,Symbol
Ansys Inc,FY 16,3.59 - 3.64 , 3.57 - 3.67 ,2016-11-03,ANSS
Agrium Inc.,2016,4.60 - 5.00, 5.00 - 5.30,2016-11-03, AGU
Quanta Services Inc.,2016,1.51 - 1.56 , 1.52 - 1.67 ,2016-11-03,PWR
Quanta Services Inc.,2016,$7.65 - $7.75 Bln, $7.75 - $8.00 Bln,2016-11-03,PWR
Triumph Group  Inc.,FY 17,$3.5 - $3.6 Bln, $3.6 - $3.7 Bln,2016-11-03,TGI
ManTech International Corp.,2016,$1.590 Bln - $1.610 Bln, $1.585 Bln - $1.635 Bln,2016-11-02,MANT
"First Solar, Inc.",FY16,$2.8 - $2.9 Bln, $3.8 - $4.0 Bln,2016-11-02,FSLR
Belden Inc.,2016,5.20 - 5.30 , 5.50 - 5.70 ,2016-11-02,BDC
Belden Inc.,2016,$2.355 - $2.375 Bln, $2.355 - $2.385 Bln,2016-11-02,BDC
Allergan  Inc.,2016,13.30 - 13.50, 13.75 - 14.20,2016-11-02,AGN
Clorox Co.,2017,5.23 - 5.43, 5.38 - 5.58,2016-11-02,CLX
AmSurg Corp.,2016,4.28 - 4.33, 4.28 - 4.35,2016-11-01,AMSG
Ecolab Inc.,2016,$4.35 - $4.45 , $4.35 - $4.50 ,2016-11-01,ECL
Federal Signal Corp,2016,0.65 - 0.70, 0.65 - 0.75,2016-11-01,FSS
Pfizer Inc.,2016,2.38 - 2.43, 2.38 - 2.48 ,2016-11-01,PFE
Sykes Enterprises Inc,2016,1.79 - 1.82, 1.80 - 1.86,2016-10-31,SYKE
Sykes Enterprises Inc,2016,$1460.0 Mln - $1465.0 Mln, $1467.0 Mln - $1480.0 Mln,2016-10-31,SYKE
Tenet Healthcare Corp.,FY16,1.16 - 1.21, 1.32 - 1.67,2016-10-31,THC
L Brands Inc.,Q3 16,0.40, 0.40 - 0.45,2016-10-31,LB
Zimmer Biomet Holdings Inc.,2016,7.90 - 7.95, 7.90 - 8.00 ,2016-10-31,ZBH
Zimmer Biomet Holdings Inc.,2016,$7.630 - $7.650 Bln, $7.680 - $7.715 Bln,2016-10-31,ZBH
Roper Technologies Inc.,2016,6.48 - 6.60, 6.57 - 6.71,2016-10-31,ROP
Cardinal Health Inc,2017,5.40 - 5.60, 5.48 - 5.73,2016-10-31,CAH
Willbros Group Inc.,2016,$725 - $750 Mln, $750 - $800 Mln,2016-10-28,WG
Kaman Corp.,2016,$1.110 - $1.120 Bln, $1.125 - $1.150 Bln,2016-10-27,KAMN
Flowserve Corporation,2016,2.05 - 2.25 , 2.40 - 2.60 ,2016-10-27,FLS
